Date : 2024-02-16 21:22:23
Directory : h:\unity\SE-LOCM
Total : 779 files,  78486 codes, 19310 comments, 16793 blanks, all 114589 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\EnumFlagDrawer.cs                                                                                                                      | C#                      |         39 |          8 |          8 |         55 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\EventHandlerEditor.cs                                                                                                                  | C#                      |         57 |          8 |         14 |         79 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\EventWindow.cs                                                                                                                         | C#                      |         65 |          3 |          9 |         77 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\ExportReferenceDocs.cs                                                                                                                 | C#                      |        179 |         12 |         35 |        226 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\FlowchartEditor.cs                                                                                                                     | C#                      |        140 |         18 |         39 |        197 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\FlowchartMenuItems.cs                                                                                                                  | C#                      |         70 |          4 |         15 |         89 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\FlowchartWindow.cs                                                                                                                     | C#                      |      1,770 |        100 |        332 |      2,202 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\FungusEditor.asmdef                                                                                                                    | UnityAssemblyDefinition |         17 |          0 |          0 |         17 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\FungusEditorPreferences.cs                                                                                                             | C#                      |         97 |         18 |         17 |        132 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\FungusEditorResources.cs                                                                                                               | C#                      |        198 |          6 |         31 |        235 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\FungusEditorResourcesGenerated.cs                                                                                                      | C#                      |         44 |          2 |          5 |         51 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\GenerateVariableHelper.cs                                                                                                              | C#                      |        576 |         80 |        126 |        782 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\GenerateVariableWindow.cs                                                                                                              | C#                      |        120 |         12 |         21 |        153 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\HierarchyIcons.cs                                                                                                                      | C#                      |         53 |         20 |         15 |         88 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\InvokeEventEditor.cs                                                                                                                   | C#                      |         66 |          2 |          9 |         77 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\InvokeMethodEditor.cs                                                                                                                  | C#                      |        371 |          5 |         76 |        452 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\LabelEditor.cs                                                                                                                         | C#                      |         59 |          2 |         18 |         79 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\LocalizationEditor.cs                                                                                                                  | C#                      |         91 |          2 |         28 |        121 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\LuaScriptedImporter.cs                                                                                                                 | C#                      |         17 |          2 |          3 |         22 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\MenuEditor.cs                                                                                                                          | C#                      |         59 |          2 |         14 |         75 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\MenuTimerEditor.cs                                                                                                                     | C#                      |         32 |          2 |         10 |         44 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\NarrativeMenuItems.cs                                                                                                                  | C#                      |         55 |          3 |         10 |         68 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\PopupContent\CommandSelectorPopupWindowContent.cs                                                                                      | C#                      |        135 |         13 |         35 |        183 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\PopupContent\EventSelectorPopupWindowContent.cs                                                                                        | C#                      |        131 |         10 |         25 |        166 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\PopupContent\VariableSelectPopupWindowContent.cs                                                                                       | C#                      |        119 |         11 |         24 |        154 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\PortraitEditor.cs                                                                                                                      | C#                      |        256 |         18 |         20 |        294 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\SaveMenuEditor.cs                                                                                                                      | C#                      |         24 |          2 |          6 |         32 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\SaveMenuItems.cs                                                                                                                       | C#                      |         17 |          2 |          3 |         22 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\SayEditor.cs                                                                                                                           | C#                      |        184 |          3 |         30 |        217 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\SerializedPropertyExtensions.cs                                                                                                        | C#                      |         43 |          2 |          3 |         48 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\SetVariableEditor.cs                                                                                                                   | C#                      |         61 |         10 |         16 |         87 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\SolutionFileFixer.cs                                                                                                                   | C#                      |         13 |          3 |          1 |         17 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\SpriteMenuItems.cs                                                                                                                     | C#                      |         27 |          2 |          5 |         34 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\StageEditor.cs                                                                                                                         | C#                      |         72 |          4 |         10 |         86 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableConditionEditor.cs                                                                                                             | C#                      |         72 |         11 |         22 |        105 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableEditor.cs                                                                                                                      | C#                      |        259 |         13 |         61 |        333 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableListAdaptor.cs                                                                                                                 | C#                      |        275 |         10 |         69 |        354 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableReferenceDrawer.cs                                                                                                             | C#                      |         53 |          7 |         10 |         70 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\AnimatorVariableDrawer.cs                                                                                                | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\AudioSourceVariableDrawer.cs                                                                                             | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\CollectionVariableDrawer.cs                                                                                              | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\Collider2DVariableDrawer.cs                                                                                              | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\ColliderVariableDrawer.cs                                                                                                | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\ColorVariableDrawer.cs                                                                                                   | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\GameObjectVariableDrawer.cs                                                                                              | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\MaterialVariableDrawer.cs                                                                                                | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\Matrix4x4VariableDrawer.cs                                                                                               | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\QuaternionVariableDrawer.cs                                                                                              | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\Rigidbody2DVariableDrawer.cs                                                                                             | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\RigidbodyVariableDrawer.cs                                                                                               | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\SpriteVariableDrawer.cs                                                                                                  | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\TextureVariableDrawer.cs                                                                                                 | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\TransformVariableDrawer.cs                                                                                               | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\Vector2VariableDrawer.cs                                                                                                 | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\Vector3VariableDrawer.cs                                                                                                 | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\VariableTypes\Vector4VariableDrawer.cs                                                                                                 | C#                      |          7 |          3 |          3 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\ViewEditor.cs                                                                                                                          | C#                      |        214 |         10 |         39 |        263 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\WriteEditor.cs                                                                                                                         | C#                      |         73 |          2 |         15 |         90 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Editor\WriterAudioEditor.cs                                                                                                                   | C#                      |         44 |          2 |          7 |         53 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EnumFlagAttribute.cs                                                                                                                          | C#                      |         13 |          4 |          5 |         22 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\ButtonClicked.cs                                                                                                                | C#                      |         35 |          5 |          9 |         49 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\DragCancelled.cs                                                                                                                | C#                      |         89 |          6 |         20 |        115 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\DragCompleted.cs                                                                                                                | C#                      |        178 |         30 |         40 |        248 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\DragEntered.cs                                                                                                                  | C#                      |        132 |         12 |         28 |        172 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\DragExited.cs                                                                                                                   | C#                      |        132 |         12 |         28 |        172 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\DragStarted.cs                                                                                                                  | C#                      |         88 |          9 |         22 |        119 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\EndEdit.cs                                                                                                                      | C#                      |         32 |          5 |          9 |         46 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\FlowchartEnabled.cs                                                                                                             | C#                      |         19 |          8 |          4 |         31 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\GameStarted.cs                                                                                                                  | C#                      |         28 |          5 |          6 |         39 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\KeyPressed.cs                                                                                                                   | C#                      |         51 |         11 |          8 |         70 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MessageReceived.cs                                                                                                              | C#                      |         26 |          9 |          6 |         41 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\AnimatorState.cs                                                                                                  | C#                      |         41 |          5 |          8 |         54 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\ApplicationState.cs                                                                                               | C#                      |         55 |          5 |          8 |         68 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\BasePhysicsEventHandler.cs                                                                                        | C#                      |         20 |          5 |          4 |         29 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\CharacterControllerCollide.cs                                                                                     | C#                      |         27 |          5 |          4 |         36 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\Collision.cs                                                                                                      | C#                      |         37 |          5 |          8 |         50 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\Collision2D.cs                                                                                                    | C#                      |         37 |          5 |          7 |         49 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\Mouse.cs                                                                                                          | C#                      |         63 |          5 |         13 |         81 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\Particle.cs                                                                                                       | C#                      |         47 |          5 |         10 |         62 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\Render.cs                                                                                                         | C#                      |         80 |          7 |         13 |        100 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\TagFilteredEventHandler.cs                                                                                        | C#                      |         23 |          5 |          4 |         32 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\TransformChanged.cs                                                                                               | C#                      |         37 |          5 |          7 |         49 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\Trigger.cs                                                                                                        | C#                      |         38 |          5 |          7 |         50 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\Trigger2D.cs                                                                                                      | C#                      |         37 |          5 |          7 |         49 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\MonoBehaviour\UpdateTick.cs                                                                                                     | C#                      |         43 |          5 |          6 |         54 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\ObjectClicked.cs                                                                                                                | C#                      |         71 |         13 |         19 |        103 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\SavePointLoaded.cs                                                                                                              | C#                      |         36 |          3 |          6 |         45 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\EventHandlers\ToggleChanged.cs                                                                                                                | C#                      |         42 |          5 |         11 |         58 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\IBlockCaller.cs                                                                                                                    | C#                      |          7 |          5 |          1 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\ICollectionCompatible.cs                                                                                                           | C#                      |          7 |          6 |          1 |         14 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\IDialogInputListener.cs                                                                                                            | C#                      |          7 |          5 |          1 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\IFungusCollection.cs                                                                                                               | C#                      |         35 |          9 |         28 |         72 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\ILocalizable.cs                                                                                                                    | C#                      |         11 |         19 |          6 |         36 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\IStringLocationIdentifier.cs                                                                                                       | C#                      |          7 |          6 |          1 |         14 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\IUpdateable.cs                                                                                                                     | C#                      |          7 |          7 |          1 |         15 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\IVariableReference.cs                                                                                                              | C#                      |          7 |          5 |          1 |         13 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\IWriterListener.cs                                                                                                                 | C#                      |         15 |         28 |          9 |         52 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Interfaces\IWriterTextDestination.cs                                                                                                          | C#                      |         13 |          5 |          3 |         21 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Signals\BlockSignals.cs                                                                                                                       | C#                      |         17 |         15 |          6 |         38 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Signals\FungusActiveSignals.cs                                                                                                                | C#                      |         66 |         23 |         11 |        100 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Signals\MenuSignals.cs                                                                                                                        | C#                      |         14 |         12 |          4 |         30 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Signals\SaveManagerSignals.cs                                                                                                                 | C#                      |         17 |         15 |          6 |         38 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Signals\WriterSignals.cs                                                                                                                      | C#                      |         20 |         18 |          7 |         45 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\AllVariableTypes.cs                                                                                                                     | C#                      |        284 |         35 |         17 |        336 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\BlockReference.cs                                                                                                                       | C#                      |         16 |         11 |          3 |         30 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\ConversationManager.cs                                                                                                                  | C#                      |        375 |         55 |         69 |        499 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\EventDispatcher.cs                                                                                                                      | C#                      |         93 |         38 |         19 |        150 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\FlowchartData.cs                                                                                                                        | C#                      |        138 |         42 |         36 |        216 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\FungusConstants.cs                                                                                                                      | C#                      |         16 |         26 |         10 |         52 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\GlobalVariables.cs                                                                                                                      | C#                      |         50 |          6 |          9 |         65 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\PortraitUtils.cs                                                                                                                        | C#                      |        153 |         20 |         29 |        202 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\SaveDataItem.cs                                                                                                                         | C#                      |         21 |         16 |          8 |         45 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\SaveHistory.cs                                                                                                                          | C#                      |         74 |         35 |         23 |        132 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\SavePointData.cs                                                                                                                        | C#                      |         62 |         29 |         26 |        117 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\StringFormatter.cs                                                                                                                      | C#                      |         52 |          5 |          7 |         64 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\TMProLinkAnimEffects.cs                                                                                                                 | C#                      |        286 |         86 |         64 |        436 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\TMProLinkAnimLookup.cs                                                                                                                  | C#                      |         35 |         66 |          9 |        110 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\TMProLinkAnimator.cs                                                                                                                    | C#                      |        153 |         31 |         22 |        206 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\TextAdapter.cs                                                                                                                          | C#                      |        303 |          7 |         22 |        332 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\TextTagParser.cs                                                                                                                        | C#                      |        268 |         15 |         22 |        305 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\TextTagToken.cs                                                                                                                         | C#                      |         45 |         45 |          6 |         96 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\TextVariationHandler.cs                                                                                                                 | C#                      |        146 |         54 |         33 |        233 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\VariableReference.cs                                                                                                                    | C#                      |         22 |         11 |          7 |         40 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\Utils\VariableUtil.cs                                                                                                                         | C#                      |         61 |          5 |         13 |         79 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\AnimatorVariable.cs                                                                                                             | C#                      |         44 |          8 |          8 |         60 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\AudioSourceVariable.cs                                                                                                          | C#                      |         44 |          8 |          8 |         60 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\BaseVariableProperty.cs                                                                                                         | C#                      |         14 |          2 |          3 |         19 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\BooleanVariable.cs                                                                                                              | C#                      |         60 |          8 |          9 |         77 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\CollectionVariable.cs                                                                                                           | C#                      |         43 |          9 |          9 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\Collection.cs                                                                                                        | C#                      |         55 |          6 |         39 |        100 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\Collider2DCollection.cs                                                                                              | C#                      |          6 |          2 |          1 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\ColliderCollection.cs                                                                                                | C#                      |          6 |          2 |          1 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\FloatCollection.cs                                                                                                   | C#                      |          6 |          2 |          1 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\GameObjectCollection.cs                                                                                              | C#                      |          6 |          2 |          1 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\GenericCollection.cs                                                                                                 | C#                      |        381 |         17 |         54 |        452 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\IntCollection.cs                                                                                                     | C#                      |          6 |          2 |          1 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\IntVarCollection.cs                                                                                                  | C#                      |          6 |          2 |          1 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\StringCollection.cs                                                                                                  | C#                      |          6 |          2 |          1 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collection\TransformCollection.cs                                                                                               | C#                      |          6 |          2 |          1 |          9 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collider2DVariable.cs                                                                                                           | C#                      |         43 |          9 |          9 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\ColliderVariable.cs                                                                                                             | C#                      |         43 |          9 |          9 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Collision2DVariable.cs                                                                                                          | C#                      |          9 |          6 |          3 |         18 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\CollisionVariable.cs                                                                                                            | C#                      |          9 |          6 |          3 |         18 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\ColorVariable.cs                                                                                                                | C#                      |         70 |          8 |          9 |         87 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\ControllerColliderHitVariable.cs                                                                                                | C#                      |          9 |          6 |          3 |         18 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\FloatVariable.cs                                                                                                                | C#                      |        101 |          8 |         14 |        123 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\GameObjectVariable.cs                                                                                                           | C#                      |         45 |          8 |          8 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\IntegerVariable.cs                                                                                                              | C#                      |        101 |          8 |         14 |        123 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\MaterialVariable.cs                                                                                                             | C#                      |         45 |          8 |          8 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Matrix4x4Variable.cs                                                                                                            | C#                      |         70 |          9 |         15 |         94 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\ObjectVariable.cs                                                                                                               | C#                      |         45 |          8 |          8 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\QuaternionVariable.cs                                                                                                           | C#                      |         70 |          9 |         15 |         94 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Rigidbody2DVariable.cs                                                                                                          | C#                      |         44 |          8 |          8 |         60 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\RigidbodyVariable.cs                                                                                                            | C#                      |         43 |          9 |          9 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\SpriteVariable.cs                                                                                                               | C#                      |         45 |          8 |          8 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\StringVariable.cs                                                                                                               | C#                      |         87 |         15 |         15 |        117 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\TextureVariable.cs                                                                                                              | C#                      |         45 |          8 |          8 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\TransformVariable.cs                                                                                                            | C#                      |         45 |          8 |          8 |         61 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Vector2Variable.cs                                                                                                              | C#                      |         85 |          8 |          9 |        102 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Vector3Variable.cs                                                                                                              | C#                      |         76 |          8 |         10 |         94 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\VariableTypes\Vector4Variable.cs                                                                                                              | C#                      |         75 |          9 |         16 |        100 |
| h:\unity\SE-LOCM\SE_LOCM\Assets\Fungus\Scripts\link.xml                                                                                                                                      | XML                     |         54 |          1 |          0 |         55 |
